매치ID,날짜,대회명,종목,경기유형,타겟점수,선수A,선수B,득점A,득점B,승자
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_조용준_vs_전진영_Poule_G1,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,조용준,전진영,5,1,조용준
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_조용준_vs_최동연_Poule_G1,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,조용준,최동연,2,5,최동연
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_조용준_vs_노규민_Poule_G1,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,조용준,노규민,5,4,조용준
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_조용준_vs_문현민_Poule_G1,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,조용준,문현민,5,1,조용준
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_조용준_vs_박여찬_Poule_G1,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,조용준,박여찬,5,1,조용준
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_전진영_vs_최동연_Poule_G1,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,전진영,최동연,4,5,최동연
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_전진영_vs_노규민_Poule_G1,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,전진영,노규민,1,5,노규민
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_전진영_vs_문현민_Poule_G1,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,전진영,문현민,5,3,전진영
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_전진영_vs_박여찬_Poule_G1,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,전진영,박여찬,5,0,전진영
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_최동연_vs_노규민_Poule_G1,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,최동연,노규민,3,5,노규민
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_최동연_vs_문현민_Poule_G1,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,최동연,문현민,5,2,최동연
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_최동연_vs_박여찬_Poule_G1,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,최동연,박여찬,5,1,최동연
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_노규민_vs_문현민_Poule_G1,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,노규민,문현민,3,5,문현민
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_노규민_vs_박여찬_Poule_G1,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,노규민,박여찬,5,2,노규민
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_문현민_vs_박여찬_Poule_G1,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,문현민,박여찬,5,3,문현민
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_이희성_vs_김태윤_Poule_G2,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,이희성,김태윤,3,5,김태윤
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_이희성_vs_민선기_Poule_G2,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,이희성,민선기,4,5,민선기
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_이희성_vs_남상호_Poule_G2,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,이희성,남상호,5,3,이희성
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_이희성_vs_김정운_Poule_G2,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,이희성,김정운,5,2,이희성
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_이희성_vs_유도현_Poule_G2,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,이희성,유도현,5,2,이희성
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_김태윤_vs_민선기_Poule_G2,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,김태윤,민선기,3,5,민선기
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_김태윤_vs_남상호_Poule_G2,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,김태윤,남상호,5,2,김태윤
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_김태윤_vs_김정운_Poule_G2,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,김태윤,김정운,5,3,김태윤
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_김태윤_vs_유도현_Poule_G2,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,김태윤,유도현,5,2,김태윤
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_민선기_vs_남상호_Poule_G2,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,민선기,남상호,5,3,민선기
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_민선기_vs_김정운_Poule_G2,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,민선기,김정운,5,4,민선기
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_민선기_vs_유도현_Poule_G2,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,민선기,유도현,5,3,민선기
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_남상호_vs_김정운_Poule_G2,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,남상호,김정운,5,1,남상호
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_남상호_vs_유도현_Poule_G2,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,남상호,유도현,5,3,남상호
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_김정운_vs_유도현_Poule_G2,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,김정운,유도현,1,5,유도현
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_임기룡_vs_한구상_Poule_G3,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,임기룡,한구상,2,5,한구상
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_임기룡_vs_김지환_Poule_G3,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,임기룡,김지환,5,4,임기룡
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_임기룡_vs_김유섭_Poule_G3,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,임기룡,김유섭,5,4,임기룡
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_임기룡_vs_김민석_Poule_G3,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,임기룡,김민석,5,2,임기룡
2025-01-14_2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회_임기룡_vs_최지현_Poule_G3,2025-01-14,2025 전국남·녀종목별오픈펜싱선수권대회 겸 국가대표선수 선발대회,사브르,예선(Poule),5,임기룡,최지현,5,3,임기룡
